year,animal_type,outcome,Total,Area,Sum
1999,Dogs,Reclaimed,15323.0,ACT,610.0
1999,Dogs,Rehomed,21415.0,ACT,1245.0
1999,Dogs,Other,4127.0,ACT,12.0
1999,Dogs,Euthanized,26339.0,ACT,360.0
1999,Dogs,Reclaimed,0.0,NSW,3140.0
1999,Dogs,Rehomed,0.0,NSW,7525.0
1999,Dogs,Other,0.0,NSW,745.0
1999,Dogs,Euthanized,0.0,NSW,9221.0
1999,Dogs,Reclaimed,0.0,NT,205.0
1999,Dogs,Rehomed,0.0,NT,526.0
1999,Dogs,Other,0.0,NT,955.0
1999,Dogs,Euthanized,0.0,NT,9.0
1999,Dogs,Reclaimed,0.0,QLD,1392.0
1999,Dogs,Rehomed,0.0,QLD,5489.0
1999,Dogs,Other,0.0,QLD,860.0
1999,Dogs,Euthanized,0.0,QLD,9214.0
1999,Dogs,Reclaimed,0.0,SA,2329.0
1999,Dogs,Rehomed,0.0,SA,1105.0
1999,Dogs,Other,0.0,SA,380.0
1999,Dogs,Euthanized,0.0,SA,1701.0
1999,Dogs,Reclaimed,0.0,TAS,516.0
1999,Dogs,Rehomed,0.0,TAS,480.0
1999,Dogs,Other,0.0,TAS,168.0
1999,Dogs,Euthanized,0.0,TAS,599.0
1999,Dogs,Reclaimed,0.0,VIC,7130.0
1999,Dogs,Rehomed,0.0,VIC,4908.0
1999,Dogs,Other,0.0,VIC,1001.0
1999,Dogs,Euthanized,0.0,VIC,5217.0
1999,Dogs,Reclaimed,0.0,WA,1.0
1999,Dogs,Rehomed,0.0,WA,137.0
1999,Dogs,Other,0.0,WA,6.0
1999,Dogs,Euthanized,0.0,WA,18.0
1999,Cats,Reclaimed,1612.0,ACT,111.0
1999,Cats,Rehomed,15162.0,ACT,1442.0
1999,Cats,Other,2509.0,ACT,0.0
1999,Cats,Euthanized,31202.0,ACT,1007.0
1999,Cats,Reclaimed,0.0,NSW,201.0
1999,Cats,Rehomed,0.0,NSW,3913.0
1999,Cats,Other,0.0,NSW,447.0
1999,Cats,Euthanized,0.0,NSW,8205.0
1999,Cats,Reclaimed,0.0,NT,22.0
1999,Cats,Rehomed,0.0,NT,269.0
1999,Cats,Other,0.0,NT,0.0
1999,Cats,Euthanized,0.0,NT,847.0
1999,Cats,Reclaimed,0.0,QLD,206.0
1999,Cats,Rehomed,0.0,QLD,3901.0
1999,Cats,Other,0.0,QLD,386.0
1999,Cats,Euthanized,0.0,QLD,10554.0
1999,Cats,Reclaimed,0.0,SA,157.0
1999,Cats,Rehomed,0.0,SA,1055.0
1999,Cats,Other,0.0,SA,46.0
1999,Cats,Euthanized,0.0,SA,3415.0
1999,Cats,Reclaimed,0.0,TAS,31.0
1999,Cats,Rehomed,0.0,TAS,752.0
1999,Cats,Other,0.0,TAS,124.0
1999,Cats,Euthanized,0.0,TAS,1056.0
1999,Cats,Reclaimed,0.0,VIC,884.0
1999,Cats,Rehomed,0.0,VIC,3768.0
1999,Cats,Other,0.0,VIC,1501.0
1999,Cats,Euthanized,0.0,VIC,6113.0
1999,Cats,Reclaimed,0.0,WA,0.0
1999,Cats,Rehomed,0.0,WA,62.0
1999,Cats,Other,0.0,WA,5.0
1999,Cats,Euthanized,0.0,WA,5.0
1999,Horses,Reclaimed,91.0,ACT,0.0
1999,Horses,Rehomed,48.0,ACT,1.0
1999,Horses,Other,14.0,ACT,0.0
1999,Horses,Euthanized,13.0,ACT,0.0
1999,Horses,Reclaimed,0.0,NSW,0.0
1999,Horses,Rehomed,0.0,NSW,12.0
1999,Horses,Other,0.0,NSW,0.0
1999,Horses,Euthanized,0.0,NSW,8.0
1999,Horses,Reclaimed,0.0,NT,1.0
1999,Horses,Rehomed,0.0,NT,3.0
1999,Horses,Other,0.0,NT,0.0
1999,Horses,Euthanized,0.0,NT,0.0
1999,Horses,Reclaimed,0.0,QLD,0.0
1999,Horses,Rehomed,0.0,QLD,3.0
1999,Horses,Other,0.0,QLD,11.0
1999,Horses,Euthanized,0.0,QLD,1.0
1999,Horses,Reclaimed,0.0,SA,2.0
1999,Horses,Rehomed,0.0,SA,10.0
1999,Horses,Other,0.0,SA,1.0
1999,Horses,Euthanized,0.0,SA,0.0
1999,Horses,Reclaimed,0.0,TAS,1.0
1999,Horses,Rehomed,0.0,TAS,0.0
1999,Horses,Other,0.0,TAS,2.0
1999,Horses,Euthanized,0.0,TAS,0.0
1999,Horses,Reclaimed,0.0,VIC,87.0
1999,Horses,Rehomed,0.0,VIC,19.0
1999,Horses,Other,0.0,VIC,0.0
1999,Horses,Euthanized,0.0,VIC,4.0
1999,Horses,Reclaimed,0.0,WA,0.0
1999,Horses,Rehomed,0.0,WA,0.0
1999,Horses,Other,0.0,WA,0.0
1999,Horses,Euthanized,0.0,WA,0.0
1999,Livestock,Reclaimed,458.0,ACT,2.0
1999,Livestock,Rehomed,1421.0,ACT,90.0
1999,Livestock,Other,297.0,ACT,39.0
1999,Livestock,Euthanized,402.0,ACT,9.0
1999,Livestock,Reclaimed,0.0,NSW,15.0
1999,Livestock,Rehomed,0.0,NSW,719.0
1999,Livestock,Other,0.0,NSW,15.0
1999,Livestock,Euthanized,0.0,NSW,49.0
1999,Livestock,Reclaimed,0.0,NT,0.0
1999,Livestock,Rehomed,0.0,NT,120.0
1999,Livestock,Other,0.0,NT,0.0
1999,Livestock,Euthanized,0.0,NT,0.0
1999,Livestock,Reclaimed,0.0,QLD,9.0
1999,Livestock,Rehomed,0.0,QLD,88.0
1999,Livestock,Other,0.0,QLD,217.0
1999,Livestock,Euthanized,0.0,QLD,109.0
1999,Livestock,Reclaimed,0.0,SA,13.0
1999,Livestock,Rehomed,0.0,SA,61.0
1999,Livestock,Other,0.0,SA,2.0
1999,Livestock,Euthanized,0.0,SA,54.0
1999,Livestock,Reclaimed,0.0,TAS,1.0
1999,Livestock,Rehomed,0.0,TAS,25.0
1999,Livestock,Other,0.0,TAS,6.0
1999,Livestock,Euthanized,0.0,TAS,2.0
1999,Livestock,Reclaimed,0.0,VIC,418.0
1999,Livestock,Rehomed,0.0,VIC,315.0
1999,Livestock,Other,0.0,VIC,18.0
1999,Livestock,Euthanized,0.0,VIC,179.0
1999,Livestock,Reclaimed,0.0,WA,0.0
1999,Livestock,Rehomed,0.0,WA,3.0
1999,Livestock,Other,0.0,WA,0.0
1999,Livestock,Euthanized,0.0,WA,0.0
1999,Wildlife,Released,6706.0,ACT,390.0
1999,Wildlife,Other,3456.0,ACT,173.0
1999,Wildlife,Euthanized,4847.0,ACT,746.0
1999,Wildlife,Released,0.0,NSW,26.0
1999,Wildlife,Other,0.0,NSW,597.0
1999,Wildlife,Euthanized,0.0,NSW,181.0
1999,Wildlife,Released,0.0,NT,6.0
1999,Wildlife,Other,0.0,NT,32.0
1999,Wildlife,Euthanized,0.0,NT,50.0
1999,Wildlife,Released,0.0,QLD,1461.0
1999,Wildlife,Other,0.0,QLD,0.0
1999,Wildlife,Euthanized,0.0,QLD,1305.0
1999,Wildlife,Released,0.0,SA,175.0
1999,Wildlife,Other,0.0,SA,446.0
1999,Wildlife,Euthanized,0.0,SA,861.0
1999,Wildlife,Released,0.0,TAS,66.0
1999,Wildlife,Other,0.0,TAS,127.0
1999,Wildlife,Euthanized,0.0,TAS,75.0
1999,Wildlife,Released,0.0,VIC,4582.0
1999,Wildlife,Other,0.0,VIC,2081.0
1999,Wildlife,Euthanized,0.0,VIC,1629.0
1999,Wildlife,Released,0.0,WA,0.0
1999,Wildlife,Other,0.0,WA,0.0
1999,Wildlife,Euthanized,0.0,WA,0.0
1999,Other Animals,Reclaimed,109.0,ACT,31.0
1999,Other Animals,Rehomed,855.0,ACT,239.0
1999,Other Animals,Other,381.0,ACT,37.0
1999,Other Animals,Euthanized,1820.0,ACT,86.0
1999,Other Animals,Reclaimed,0.0,NSW,50.0
1999,Other Animals,Rehomed,0.0,NSW,250.0
1999,Other Animals,Other,0.0,NSW,26.0
1999,Other Animals,Euthanized,0.0,NSW,987.0
1999,Other Animals,Reclaimed,0.0,NT,5.0
1999,Other Animals,Rehomed,0.0,NT,60.0
1999,Other Animals,Other,0.0,NT,0.0
1999,Other Animals,Euthanized,0.0,NT,10.0
1999,Other Animals,Reclaimed,0.0,QLD,0.0
1999,Other Animals,Rehomed,0.0,QLD,43.0
1999,Other Animals,Other,0.0,QLD,259.0
1999,Other Animals,Euthanized,0.0,QLD,318.0
1999,Other Animals,Reclaimed,0.0,SA,16.0
1999,Other Animals,Rehomed,0.0,SA,67.0
1999,Other Animals,Other,0.0,SA,5.0
1999,Other Animals,Euthanized,0.0,SA,103.0
1999,Other Animals,Reclaimed,0.0,TAS,5.0
1999,Other Animals,Rehomed,0.0,TAS,63.0
1999,Other Animals,Other,0.0,TAS,24.0
1999,Other Animals,Euthanized,0.0,TAS,18.0
1999,Other Animals,Reclaimed,0.0,VIC,2.0
1999,Other Animals,Rehomed,0.0,VIC,133.0
1999,Other Animals,Other,0.0,VIC,18.0
1999,Other Animals,Euthanized,0.0,VIC,297.0
1999,Other Animals,Reclaimed,0.0,WA,0.0
1999,Other Animals,Rehomed,0.0,WA,0.0
1999,Other Animals,Other,0.0,WA,12.0
1999,Other Animals,Euthanized,0.0,WA,1.0
2000,Dogs,Reclaimed,15955.0,ACT,1198.0
2000,Dogs,Rehomed,20936.0,ACT,501.0
2000,Dogs,Other,1669.0,ACT,5.0
2000,Dogs,Euthanized,25911.0,ACT,269.0
2000,Dogs,Reclaimed,0.0,NSW,2969.0
2000,Dogs,Rehomed,0.0,NSW,6720.0
2000,Dogs,Other,0.0,NSW,1050.0
2000,Dogs,Euthanized,0.0,NSW,7886.0
2000,Dogs,Reclaimed,0.0,NT,912.0
2000,Dogs,Rehomed,0.0,NT,753.0
2000,Dogs,Other,0.0,NT,2.0
2000,Dogs,Euthanized,0.0,NT,667.0
2000,Dogs,Reclaimed,0.0,QLD,1440.0
2000,Dogs,Rehomed,0.0,QLD,5124.0
2000,Dogs,Other,0.0,QLD,102.0
2000,Dogs,Euthanized,0.0,QLD,8538.0
2000,Dogs,Reclaimed,0.0,SA,2651.0
2000,Dogs,Rehomed,0.0,SA,1233.0
2000,Dogs,Other,0.0,SA,0.0
2000,Dogs,Euthanized,0.0,SA,1887.0
2000,Dogs,Reclaimed,0.0,TAS,570.0
2000,Dogs,Rehomed,0.0,TAS,460.0
2000,Dogs,Other,0.0,TAS,250.0
2000,Dogs,Euthanized,0.0,TAS,554.0
2000,Dogs,Reclaimed,0.0,VIC,5759.0
2000,Dogs,Rehomed,0.0,VIC,5390.0
2000,Dogs,Other,0.0,VIC,166.0
2000,Dogs,Euthanized,0.0,VIC,6003.0
2000,Dogs,Reclaimed,0.0,WA,456.0
2000,Dogs,Rehomed,0.0,WA,755.0
2000,Dogs,Other,0.0,WA,94.0
2000,Dogs,Euthanized,0.0,WA,107.0
2000,Cats,Reclaimed,1273.0,ACT,91.0
2000,Cats,Rehomed,15819.0,ACT,1367.0
2000,Cats,Other,1605.0,ACT,67.0
2000,Cats,Euthanized,32901.0,ACT,940.0
2000,Cats,Reclaimed,0.0,NSW,181.0
2000,Cats,Rehomed,0.0,NSW,3522.0
2000,Cats,Other,0.0,NSW,645.0
2000,Cats,Euthanized,0.0,NSW,7161.0
2000,Cats,Reclaimed,0.0,NT,26.0
2000,Cats,Rehomed,0.0,NT,568.0
2000,Cats,Other,0.0,NT,2.0
2000,Cats,Euthanized,0.0,NT,987.0
2000,Cats,Reclaimed,0.0,QLD,163.0
2000,Cats,Rehomed,0.0,QLD,3858.0
2000,Cats,Other,0.0,QLD,42.0
2000,Cats,Euthanized,0.0,QLD,10570.0
2000,Cats,Reclaimed,0.0,SA,138.0
2000,Cats,Rehomed,0.0,SA,1323.0
2000,Cats,Other,0.0,SA,0.0
2000,Cats,Euthanized,0.0,SA,3728.0
2000,Cats,Reclaimed,0.0,TAS,45.0
2000,Cats,Rehomed,0.0,TAS,629.0
2000,Cats,Other,0.0,TAS,176.0
2000,Cats,Euthanized,0.0,TAS,1294.0
2000,Cats,Reclaimed,0.0,VIC,625.0
2000,Cats,Rehomed,0.0,VIC,4146.0
2000,Cats,Other,0.0,VIC,655.0
2000,Cats,Euthanized,0.0,VIC,8133.0
2000,Cats,Reclaimed,0.0,WA,4.0
2000,Cats,Rehomed,0.0,WA,406.0
2000,Cats,Other,0.0,WA,18.0
2000,Cats,Euthanized,0.0,WA,88.0
2000,Horses,Reclaimed,4.0,ACT,0.0
2000,Horses,Rehomed,48.0,ACT,1.0
2000,Horses,Other,9.0,ACT,1.0
2000,Horses,Euthanized,3.0,ACT,0.0
2000,Horses,Reclaimed,0.0,NSW,1.0
2000,Horses,Rehomed,0.0,NSW,4.0
2000,Horses,Other,0.0,NSW,3.0
2000,Horses,Euthanized,0.0,NSW,1.0
2000,Horses,Reclaimed,0.0,NT,0.0
2000,Horses,Rehomed,0.0,NT,0.0
2000,Horses,Other,0.0,NT,0.0
2000,Horses,Euthanized,0.0,NT,0.0
2000,Horses,Reclaimed,0.0,QLD,0.0
2000,Horses,Rehomed,0.0,QLD,21.0
2000,Horses,Other,0.0,QLD,0.0
2000,Horses,Euthanized,0.0,QLD,1.0
2000,Horses,Reclaimed,0.0,SA,1.0
2000,Horses,Rehomed,0.0,SA,3.0
2000,Horses,Other,0.0,SA,0.0
2000,Horses,Euthanized,0.0,SA,1.0
2000,Horses,Reclaimed,0.0,TAS,2.0
2000,Horses,Rehomed,0.0,TAS,0.0
2000,Horses,Other,0.0,TAS,2.0
2000,Horses,Euthanized,0.0,TAS,0.0
2000,Horses,Reclaimed,0.0,VIC,0.0
2000,Horses,Rehomed,0.0,VIC,4.0
2000,Horses,Other,0.0,VIC,0.0
2000,Horses,Euthanized,0.0,VIC,0.0
2000,Horses,Reclaimed,0.0,WA,0.0
2000,Horses,Rehomed,0.0,WA,15.0
2000,Horses,Other,0.0,WA,3.0
2000,Horses,Euthanized,0.0,WA,0.0
2000,Livestock,Reclaimed,55.0,ACT,6.0
2000,Livestock,Rehomed,1075.0,ACT,113.0
2000,Livestock,Other,98.0,ACT,2.0
2000,Livestock,Euthanized,360.0,ACT,11.0
2000,Livestock,Reclaimed,0.0,NSW,0.0
2000,Livestock,Rehomed,0.0,NSW,318.0
2000,Livestock,Other,0.0,NSW,72.0
2000,Livestock,Euthanized,0.0,NSW,79.0
2000,Livestock,Reclaimed,0.0,NT,0.0
2000,Livestock,Rehomed,0.0,NT,0.0
2000,Livestock,Other,0.0,NT,0.0
2000,Livestock,Euthanized,0.0,NT,0.0
2000,Livestock,Reclaimed,0.0,QLD,2.0
2000,Livestock,Rehomed,0.0,QLD,237.0
2000,Livestock,Other,0.0,QLD,0.0
2000,Livestock,Euthanized,0.0,QLD,141.0
2000,Livestock,Reclaimed,0.0,SA,20.0
2000,Livestock,Rehomed,0.0,SA,53.0
2000,Livestock,Other,0.0,SA,0.0
2000,Livestock,Euthanized,0.0,SA,80.0
2000,Livestock,Reclaimed,0.0,TAS,0.0
2000,Livestock,Rehomed,0.0,TAS,71.0
2000,Livestock,Other,0.0,TAS,9.0
2000,Livestock,Euthanized,0.0,TAS,5.0
2000,Livestock,Reclaimed,0.0,VIC,25.0
2000,Livestock,Rehomed,0.0,VIC,257.0
2000,Livestock,Other,0.0,VIC,10.0
2000,Livestock,Euthanized,0.0,VIC,36.0
2000,Livestock,Reclaimed,0.0,WA,2.0
2000,Livestock,Rehomed,0.0,WA,26.0
2000,Livestock,Other,0.0,WA,5.0
2000,Livestock,Euthanized,0.0,WA,8.0
2000,Wildlife,Released,4430.0,ACT,481.0
2000,Wildlife,Other,1988.0,ACT,502.0
2000,Wildlife,Euthanized,5829.0,ACT,423.0
2000,Wildlife,Released,0.0,NSW,287.0
2000,Wildlife,Other,0.0,NSW,95.0
2000,Wildlife,Euthanized,0.0,NSW,700.0
2000,Wildlife,Released,0.0,NT,0.0
2000,Wildlife,Other,0.0,NT,0.0
